seq_id,description,length,pred_class,bit_score,evalue,query_len,target_len
tr|A0A0K0H7C3|A0A0K0H7C3_SALBC,tr|A0A0K0H7C3|A0A0K0H7C3_SALBC Carbonic anhydrase OS=Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419) OX=218493 GN=yadF PE=3 SV=1,220,8ca.alpha.45,16.9,1.4e-06,220.0,349.0
tr|A0A0K0HEK7|A0A0K0HEK7_SALBC,tr|A0A0K0HEK7|A0A0K0HEK7_SALBC carbonic anhydrase OS=Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419) OX=218493 GN=SBG_3001 PE=3 SV=1,230,8ca.beta.45,166.5,5.8e-52,230.0,381.0
tr|A0A0K0HRT0|A0A0K0HRT0_HAFAL,tr|A0A0K0HRT0|A0A0K0HRT0_HAFAL Carbonic anhydrase OS=Hafnia alvei OX=569 GN=can PE=3 SV=1,216,8ca.alpha.45,15.9,2.8e-06,216.0,349.0
tr|A0A0K0K1L1|A0A0K0K1L1_HUMAN,tr|A0A0K0K1L1|A0A0K0K1L1_HUMAN Carbonic anhydrase OS=Homo sapiens OX=9606 GN=HEL-S-282 PE=2 SV=1,260,8ca.beta.45,147.6,3.0999999999999997e-46,260.0,381.0
tr|A0A0K0SWN9|A0A0K0SWN9_9PROT,tr|A0A0K0SWN9|A0A0K0SWN9_9PROT carbonic anhydrase OS=Methylophilus sp. TWE2 OX=1662285 GN=ACJ67_09360 PE=3 SV=1,214,8ca.alpha.45,29.4,2.2e-10,214.0,349.0
tr|A0A0K0SZ29|A0A0K0SZ29_9PROT,tr|A0A0K0SZ29|A0A0K0SZ29_9PROT Carbonic anhydrase OS=Methylophilus sp. TWE2 OX=1662285 GN=ACJ67_04285 PE=3 SV=1,455,8ca.beta.45,223.4,3e-69,455.0,381.0
tr|A0A0K0TN17|A0A0K0TN17_9DINO,tr|A0A0K0TN17|A0A0K0TN17_9DINO Carbonic anhydrase (Fragment) OS=Polykrikos lebourae OX=370573 PE=2 SV=1,263,8ca.alpha.45,23.0,1.9e-08,263.0,349.0
tr|A0A0K0X414|A0A0K0X414_MYCGD,tr|A0A0K0X414|A0A0K0X414_MYCGD Carbonic anhydrase OS=Mycolicibacterium goodii OX=134601 GN=AFA91_10365 PE=3 SV=1,206,8ca.alpha.45,23.5,1.4e-08,206.0,349.0
tr|A0A0K0XEY1|A0A0K0XEY1_MYCGD,tr|A0A0K0XEY1|A0A0K0XEY1_MYCGD Carbonic anhydrase OS=Mycolicibacterium goodii OX=134601 GN=AFA91_33025 PE=3 SV=1,723,8ca.alpha.45,19.9,1.7e-07,723.0,349.0
tr|A0A0K0YAZ4|A0A0K0YAZ4_MYTCO,tr|A0A0K0YAZ4|A0A0K0YAZ4_MYTCO Carbonic anhydrase (Fragment) OS=Mytilus coruscus OX=42192 PE=2 SV=1,321,8ca.beta.45,136.2,9.2e-43,321.0,381.0
tr|A0A0K1E1K3|A0A0K1E1K3_9CREN,tr|A0A0K1E1K3|A0A0K1E1K3_9CREN carbonic anhydrase OS=Pyrobaculum sp. WP30 OX=1227555 GN=PYWP30_01106 PE=3 SV=1,166,8ca.alpha.45,30.1,1.3e-10,166.0,349.0
tr|A0A0K1E606|A0A0K1E606_CHOCO,tr|A0A0K1E606|A0A0K1E606_CHOCO Carbonic anhydrase OS=Chondromyces crocatus OX=52 GN=cynT PE=3 SV=1,223,8ca.alpha.45,33.1,1.6e-11,223.0,349.0
tr|A0A0K1F9Y1|A0A0K1F9Y1_9MICO,tr|A0A0K1F9Y1|A0A0K1F9Y1_9MICO carbonic anhydrase OS=Arsenicicoccus sp. oral taxon 190 OX=1658671 GN=ADJ73_08300 PE=3 SV=1,226,NO_HIT,,,,
tr|A0A0K1FHH6|A0A0K1FHH6_9FIRM,tr|A0A0K1FHH6|A0A0K1FHH6_9FIRM carbonic anhydrase OS=Selenomonas sp. oral taxon 478 OX=712538 GN=ADJ74_06500 PE=3 SV=1,182,8ca.alpha.45,100.2,6.4e-32,182.0,349.0
tr|A0A0K1IR61|A0A0K1IR61_HALGI,tr|A0A0K1IR61|A0A0K1IR61_HALGI carbonic anhydrase OS=Haloferax gibbonsii OX=35746 GN=ABY42_04555 PE=3 SV=1,231,8ca.alpha.45,13.6,1.4e-05,231.0,349.0
tr|A0A0K1JMB2|A0A0K1JMB2_9MICO,tr|A0A0K1JMB2|A0A0K1JMB2_9MICO carbonic anhydrase OS=Luteipulveratus mongoliensis OX=571913 GN=VV02_20800 PE=3 SV=1,165,8ca.alpha.45,68.9,2.1e-22,165.0,349.0
tr|A0A0K1K2S4|A0A0K1K2S4_9BURK,tr|A0A0K1K2S4|A0A0K1K2S4_9BURK Carbonic anhydrase 2 OS=Massilia sp. NR 4-1 OX=1678028 GN=ACZ75_21775 PE=3 SV=1,225,8ca.alpha.45,20.1,1.4e-07,225.0,349.0
tr|A0A0K1K3M2|A0A0K1K3M2_9BURK,tr|A0A0K1K3M2|A0A0K1K3M2_9BURK carbonic anhydrase OS=Massilia sp. NR 4-1 OX=1678028 GN=ACZ75_23325 PE=3 SV=1,364,8ca.beta.45,242.2,5.9e-75,364.0,381.0
tr|A0A0K1K5P8|A0A0K1K5P8_9BURK,tr|A0A0K1K5P8|A0A0K1K5P8_9BURK carbonic anhydrase OS=Massilia sp. NR 4-1 OX=1678028 GN=ACZ75_04640 PE=3 SV=1,253,8ca.beta.45,281.0,9.000000000000001e-87,253.0,381.0
tr|A0A0K1LEB7|A0A0K1LEB7_9POXV,tr|A0A0K1LEB7|A0A0K1LEB7_9POXV Cell surface-binding protein OPG105 OS=Camelpox virus OX=28873 GN=FGHELIBC_00124 PE=3 SV=1,304,8ca.beta.45,37.2,1.1e-12,304.0,381.0
tr|A0A0K1LI78|A0A0K1LI78_ONCKI,tr|A0A0K1LI78|A0A0K1LI78_ONCKI Carbonic anhydrase (Fragment) OS=Oncorhynchus kisutch OX=8019 GN=ca4 PE=2 SV=1,157,8ca.beta.45,40.1,1.4e-13,157.0,381.0
tr|A0A0K1PCB4|A0A0K1PCB4_9BACT,tr|A0A0K1PCB4|A0A0K1PCB4_9BACT Carbonic anhydrase 2 OS=Vulgatibacter incomptus OX=1391653 GN=AKJ08_1443 PE=3 SV=1,210,8ca.alpha.45,35.3,3.6e-12,210.0,349.0
tr|A0A0K1PZ77|A0A0K1PZ77_9BACT,tr|A0A0K1PZ77|A0A0K1PZ77_9BACT carbonic anhydrase OS=Labilithrix luteola OX=1391654 GN=AKJ09_05499 PE=3 SV=1,246,8ca.alpha.45,16.3,2.1e-06,246.0,349.0
tr|A0A0K1Q6F2|A0A0K1Q6F2_9BACT,tr|A0A0K1Q6F2|A0A0K1Q6F2_9BACT Carbonic anhydrase OS=Labilithrix luteola OX=1391654 GN=AKJ09_08079 PE=3 SV=1,231,8ca.alpha.45,15.0,5.2e-06,231.0,349.0
tr|A0A0K1QJM2|A0A0K1QJM2_PSEFL,tr|A0A0K1QJM2|A0A0K1QJM2_PSEFL Carbonic anhydrase OS=Pseudomonas fluorescens NCIMB 11764 OX=1221522 GN=B723_05645 PE=3 SV=1,243,8ca.alpha.45,35.3,3.6e-12,243.0,349.0
tr|A0A0K1QT37|A0A0K1QT37_PSEFL,tr|A0A0K1QT37|A0A0K1QT37_PSEFL Carbonic anhydrase OS=Pseudomonas fluorescens NCIMB 11764 OX=1221522 GN=B723_22120 PE=3 SV=1,210,8ca.alpha.45,27.9,6.1e-10,210.0,349.0
tr|A0A0K1QT42|A0A0K1QT42_PSEFL,tr|A0A0K1QT42|A0A0K1QT42_PSEFL Carbonic anhydrase OS=Pseudomonas fluorescens NCIMB 11764 OX=1221522 GN=B723_22145 PE=3 SV=1,220,8ca.alpha.45,27.9,6.1e-10,220.0,349.0
tr|A0A0K1QUX5|A0A0K1QUX5_PSEFL,tr|A0A0K1QUX5|A0A0K1QUX5_PSEFL Carbonic anhydrase OS=Pseudomonas fluorescens NCIMB 11764 OX=1221522 GN=B723_23670 PE=3 SV=1,219,8ca.alpha.45,25.5,3.4e-09,219.0,349.0
tr|A0A0K1QYC8|A0A0K1QYC8_PSEFL,tr|A0A0K1QYC8|A0A0K1QYC8_PSEFL Carbonic anhydrase OS=Pseudomonas fluorescens NCIMB 11764 OX=1221522 GN=B723_31755 PE=3 SV=1,214,8ca.alpha.45,18.0,6.6e-07,214.0,349.0
tr|A0A0K1S2R2|A0A0K1S2R2_9CHRO,tr|A0A0K1S2R2|A0A0K1S2R2_9CHRO Carboxysome assembly protein CcmM OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_3430 PE=3 SV=1,652,8ca.gamma.45,43.0,1.3e-14,652.0,185.0
tr|A0A0K1S4R4|A0A0K1S4R4_9CHRO,tr|A0A0K1S4R4|A0A0K1S4R4_9CHRO Carbonic anhydrase OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_4173 PE=3 SV=1,319,8ca.beta.45,195.2,1.1000000000000001e-60,319.0,381.0
tr|A0A0K1S655|A0A0K1S655_9CHRO,tr|A0A0K1S655|A0A0K1S655_9CHRO carbonic anhydrase OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_4715 PE=3 SV=1,241,8ca.alpha.45,27.1,1.1e-09,241.0,349.0
tr|A0A0K1S6G4|A0A0K1S6G4_9CHRO,tr|A0A0K1S6G4|A0A0K1S6G4_9CHRO Carbonic anhydrase OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_4856 PE=3 SV=1,204,8ca.alpha.45,33.4,1.4e-11,204.0,349.0
tr|A0A0K1S6R5|A0A0K1S6R5_9CHRO,tr|A0A0K1S6R5|A0A0K1S6R5_9CHRO Carbonic anhydrase OS=Microcystis panniformis FACHB-1757 OX=1638788 GN=VL20_4859 PE=3 SV=1,282,8ca.alpha.45,31.6,4.7e-11,282.0,349.0
tr|A0A0K1U546|A0A0K1U546_9GAMM,tr|A0A0K1U546|A0A0K1U546_9GAMM Carbonic anhydrase OS=Marinobacter sp. CP1 OX=1671721 GN=ACP86_01495 PE=3 SV=1,227,8ca.alpha.45,14.9,5.6e-06,227.0,349.0
tr|A0A0K1XF07|A0A0K1XF07_9GAMM,tr|A0A0K1XF07|A0A0K1XF07_9GAMM Carbonic anhydrase OS=Thiopseudomonas alkaliphila OX=1697053 GN=can PE=3 SV=1,212,8ca.alpha.45,22.0,4e-08,212.0,349.0
tr|A0A0K1ZNF6|A0A0K1ZNF6_RALSL,tr|A0A0K1ZNF6|A0A0K1ZNF6_RALSL Carbonic anhydrase 2 OS=Ralstonia solanacearum OX=305 GN=can PE=3 SV=1,226,8ca.alpha.45,17.5,9.4e-07,226.0,349.0
tr|A0A0K1ZQM0|A0A0K1ZQM0_RALSL,tr|A0A0K1ZQM0|A0A0K1ZQM0_RALSL Carbonic anhydrase OS=Ralstonia solanacearum OX=305 GN=can PE=3 SV=1,214,NO_HIT,,,,
tr|A0A0K2AQF2|A0A0K2AQF2_STRA7,tr|A0A0K2AQF2|A0A0K2AQF2_STRA7 carbonic anhydrase OS=Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516) OX=278992 GN=mtcA PE=3 SV=1,189,8ca.alpha.45,78.0,3.6999999999999996e-25,189.0,349.0
tr|A0A0K2AW68|A0A0K2AW68_STRA7,tr|A0A0K2AW68|A0A0K2AW68_STRA7 Putative integral membrane transport protein OS=Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516) OX=278992 GN=SAM23877_4101 PE=3 SV=1,831,8ca.alpha.45,12.7,2.6e-05,831.0,349.0
tr|A0A0K2B0S0|A0A0K2B0S0_STRA7,tr|A0A0K2B0S0|A0A0K2B0S0_STRA7 Carbonic anhydrase OS=Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516) OX=278992 GN=cynT PE=3 SV=1,193,8ca.alpha.45,12.1,4e-05,193.0,349.0
tr|A0A0K2E815|A0A0K2E815_STRSU,tr|A0A0K2E815|A0A0K2E815_STRSU carbonic anhydrase OS=Streptococcus suis OX=1307 GN=mtcA1 PE=3 SV=1,164,8ca.alpha.45,100.0,7.4e-32,164.0,349.0
tr|A0A0K2H1Y7|A0A0K2H1Y7_9CORY,tr|A0A0K2H1Y7|A0A0K2H1Y7_9CORY Carbonic anhydrase OS=Corynebacterium lactis RW2-5 OX=1408189 GN=CLAC_10695 PE=3 SV=1,210,8ca.alpha.45,29.5,2.1e-10,210.0,349.0
tr|A0A0K2RF35|A0A0K2RF35_9MICC,tr|A0A0K2RF35|A0A0K2RF35_9MICC carbonic anhydrase OS=Arthrobacter sp. Hiyo8 OX=1588023 GN=AHiyo8_17510 PE=3 SV=1,204,8ca.alpha.45,32.8,2e-11,204.0,349.0
tr|A0A0K2T4G6|A0A0K2T4G6_LEPSM,tr|A0A0K2T4G6|A0A0K2T4G6_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,278,8ca.beta.45,110.3,6.5e-35,278.0,381.0
tr|A0A0K2T4T5|A0A0K2T4T5_LEPSM,tr|A0A0K2T4T5|A0A0K2T4T5_LEPSM Carbonic anhydrase OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,322,8ca.beta.45,113.2,8.900000000000001e-36,322.0,381.0
tr|A0A0K2TFN3|A0A0K2TFN3_LEPSM,tr|A0A0K2TFN3|A0A0K2TFN3_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,248,8ca.beta.45,113.8,5.7000000000000006e-36,248.0,381.0
tr|A0A0K2TK56|A0A0K2TK56_LEPSM,tr|A0A0K2TK56|A0A0K2TK56_LEPSM Carbonic anhydrase OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,279,8ca.beta.45,121.2,3.2000000000000003e-38,279.0,381.0
tr|A0A0K2TL74|A0A0K2TL74_LEPSM,tr|A0A0K2TL74|A0A0K2TL74_LEPSM carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,122,8ca.beta.45,28.2,5.8e-10,122.0,381.0
tr|A0A0K2TQ22|A0A0K2TQ22_LEPSM,tr|A0A0K2TQ22|A0A0K2TQ22_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,120,NO_HIT,,,,
tr|A0A0K2TQT0|A0A0K2TQT0_LEPSM,tr|A0A0K2TQT0|A0A0K2TQT0_LEPSM Carbonic anhydrase OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,211,NO_HIT,,,,
tr|A0A0K2U438|A0A0K2U438_LEPSM,tr|A0A0K2U438|A0A0K2U438_LEPSM Alpha-carbonic anhydrase domain-containing protein (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,404,8ca.beta.45,79.6,1.5e-25,404.0,381.0
tr|A0A0K2U443|A0A0K2U443_LEPSM,tr|A0A0K2U443|A0A0K2U443_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,319,8ca.beta.45,106.5,9.4e-34,319.0,381.0
tr|A0A0K2V5E0|A0A0K2V5E0_LEPSM,tr|A0A0K2V5E0|A0A0K2V5E0_LEPSM carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,446,8ca.beta.45,23.5,1.5e-08,446.0,381.0
tr|A0A0K2VGK4|A0A0K2VGK4_LEPSM,tr|A0A0K2VGK4|A0A0K2VGK4_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 GN=cah5 PE=3 SV=1,245,8ca.beta.45,92.5,1.7e-29,245.0,381.0
tr|A0A0K2VGL6|A0A0K2VGL6_LEPSM,tr|A0A0K2VGL6|A0A0K2VGL6_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,195,8ca.beta.45,71.1,5.600000000000001e-23,195.0,381.0
tr|A0A0K2VHD6|A0A0K2VHD6_LEPSM,tr|A0A0K2VHD6|A0A0K2VHD6_LEPSM Carbonic anhydrase (Fragment) OS=Lepeophtheirus salmonis OX=72036 PE=3 SV=1,286,8ca.beta.45,114.6,3.4e-36,286.0,381.0
tr|A0A0K2VNR2|A0A0K2VNR2_MESPL,tr|A0A0K2VNR2|A0A0K2VNR2_MESPL Carbonic anhydrase OS=Mesorhizobium plurifarium OX=69974 GN=MPL1032_100262 PE=3 SV=1,213,NO_HIT,,,,
tr|A0A0K2VYY5|A0A0K2VYY5_MESPL,tr|A0A0K2VYY5|A0A0K2VYY5_MESPL Carbonic anhydrase OS=Mesorhizobium plurifarium OX=69974 GN=cah PE=3 SV=1,249,8ca.beta.45,232.5,4.9e-72,249.0,381.0
tr|A0A0K2X621|A0A0K2X621_9HELI,tr|A0A0K2X621|A0A0K2X621_9HELI carbonic anhydrase OS=Helicobacter ailurogastricus OX=1578720 GN=HAL011_12950 PE=3 SV=1,249,8ca.beta.45,197.4,2.3999999999999997e-61,249.0,381.0
tr|A0A0K2Y0K9|A0A0K2Y0K9_9HELI,tr|A0A0K2Y0K9|A0A0K2Y0K9_9HELI carbonic anhydrase OS=Helicobacter ailurogastricus OX=1578720 GN=HAL07_13010 PE=3 SV=1,249,8ca.beta.45,197.7,1.9e-61,249.0,381.0
tr|A0A0K2YCD5|A0A0K2YCD5_9NOCA,tr|A0A0K2YCD5|A0A0K2YCD5_9NOCA Carbonic anhydrase OS=Rhodococcus sp. RD6.2 OX=260936 GN=mtcA PE=3 SV=1,216,8ca.alpha.45,23.1,1.8e-08,216.0,349.0
tr|A0A0K2YJ64|A0A0K2YJ64_9NOCA,tr|A0A0K2YJ64|A0A0K2YJ64_9NOCA Beta-carbonic anhydrase 1 OS=Rhodococcus sp. RD6.2 OX=260936 GN=mtcA PE=3 SV=1,163,8ca.alpha.45,86.0,1.3e-27,163.0,349.0
tr|A0A0K2ZEG8|A0A0K2ZEG8_9XANT,tr|A0A0K2ZEG8|A0A0K2ZEG8_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. phlei OX=487906 GN=XTPLMG730_0656 PE=3 SV=1,229,8ca.alpha.45,25.9,2.5e-09,229.0,349.0
tr|A0A0K2ZKV1|A0A0K2ZKV1_9XANT,tr|A0A0K2ZKV1|A0A0K2ZKV1_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. phlei OX=487906 GN=can PE=3 SV=1,220,8ca.alpha.45,20.2,1.4e-07,220.0,349.0
tr|A0A0K2ZKX6|A0A0K2ZKX6_9XANT,tr|A0A0K2ZKX6|A0A0K2ZKX6_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. arrhenatheri LMG 727 OX=1195923 GN=XTALMG727_1158 PE=3 SV=1,229,8ca.alpha.45,25.8,2.7e-09,229.0,349.0
tr|A0A0K2ZN74|A0A0K2ZN74_9XANT,tr|A0A0K2ZN74|A0A0K2ZN74_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. poae OX=227946 GN=A6R73_09400 PE=3 SV=1,229,8ca.alpha.45,24.8,5.6e-09,229.0,349.0
tr|A0A0K2ZTG1|A0A0K2ZTG1_9XANT,tr|A0A0K2ZTG1|A0A0K2ZTG1_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. arrhenatheri LMG 727 OX=1195923 GN=can PE=3 SV=1,220,8ca.alpha.45,19.5,2.2e-07,220.0,349.0
tr|A0A0K2ZV03|A0A0K2ZV03_9XANT,tr|A0A0K2ZV03|A0A0K2ZV03_9XANT Carbonic anhydrase OS=Xanthomonas graminis pv. poae OX=227946 GN=can PE=3 SV=1,220,8ca.alpha.45,19.5,2.3e-07,220.0,349.0
tr|A0A0K3ARK9|A0A0K3ARK9_CAEEL,tr|A0A0K3ARK9|A0A0K3ARK9_CAEEL Carbonic anhydrase OS=Caenorhabditis elegans OX=6239 GN=bca-2 PE=1 SV=1,200,NO_HIT,,,,
tr|A0A0K3B0E5|A0A0K3B0E5_9PSEU,tr|A0A0K3B0E5|A0A0K3B0E5_9PSEU Carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,202,8ca.alpha.45,13.7,1.3e-05,202.0,349.0
tr|A0A0K3B2F4|A0A0K3B2F4_9PSEU,tr|A0A0K3B2F4|A0A0K3B2F4_9PSEU carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,709,NO_HIT,,,,
tr|A0A0K3B2M1|A0A0K3B2M1_9PSEU,tr|A0A0K3B2M1|A0A0K3B2M1_9PSEU carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,213,8ca.alpha.45,29.1,2.6e-10,213.0,349.0
tr|A0A0K3B312|A0A0K3B312_9PSEU,tr|A0A0K3B312|A0A0K3B312_9PSEU carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,247,8ca.beta.45,123.6,6.3e-39,247.0,381.0
tr|A0A0K3B867|A0A0K3B867_9PSEU,tr|A0A0K3B867|A0A0K3B867_9PSEU carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,162,8ca.alpha.45,101.4,2.7000000000000004e-32,162.0,349.0
tr|A0A0K3BCZ7|A0A0K3BCZ7_9PSEU,tr|A0A0K3BCZ7|A0A0K3BCZ7_9PSEU carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,163,8ca.alpha.45,73.2,1.0000000000000001e-23,163.0,349.0
tr|A0A0K3BQQ4|A0A0K3BQQ4_9PSEU,tr|A0A0K3BQQ4|A0A0K3BQQ4_9PSEU Carbonic anhydrase OS=Kibdelosporangium sp. MJ126-NF4 OX=703222 PE=3 SV=1,199,8ca.alpha.45,11.5,6.2e-05,199.0,349.0
tr|A0A0K3C9H9|A0A0K3C9H9_RHOTO,tr|A0A0K3C9H9|A0A0K3C9H9_RHOTO Carbonic anhydrase OS=Rhodotorula toruloides OX=5286 GN=FGENESH: predicted gene_2.588 PE=3 SV=1,243,8ca.alpha.45,18.9,3.4e-07,243.0,349.0
tr|A0A0K3CI85|A0A0K3CI85_RHOTO,tr|A0A0K3CI85|A0A0K3CI85_RHOTO Carbonic anhydrase OS=Rhodotorula toruloides OX=5286 GN=FGENESH: predicted gene_8.394 PE=3 SV=1,201,8ca.alpha.45,68.2,3.5000000000000005e-22,201.0,349.0
tr|A0A0K3CQ52|A0A0K3CQ52_RHOTO,tr|A0A0K3CQ52|A0A0K3CQ52_RHOTO carbonic anhydrase OS=Rhodotorula toruloides OX=5286 GN=FGENESH: predicted gene_14.208 PE=3 SV=1,493,NO_HIT,,,,
tr|A0A0K3X0F0|A0A0K3X0F0_ECOLX,tr|A0A0K3X0F0|A0A0K3X0F0_ECOLX Carbonic anhydrase OS=Escherichia coli OX=562 GN=cynT PE=3 SV=1,219,8ca.alpha.45,21.5,5.6e-08,219.0,349.0
tr|A0A0K4FET5|A0A0K4FET5_ECOLX,tr|A0A0K4FET5|A0A0K4FET5_ECOLX Carbonic anhydrase OS=Escherichia coli OX=562 GN=can PE=3 SV=1,220,8ca.alpha.45,16.5,1.8e-06,220.0,349.0
tr|A0A0K6FNG3|A0A0K6FNG3_9AGAM,tr|A0A0K6FNG3|A0A0K6FNG3_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_03239 PE=3 SV=1,228,8ca.alpha.45,37.0,1.1e-12,228.0,349.0
tr|A0A0K6FSY8|A0A0K6FSY8_9AGAM,tr|A0A0K6FSY8|A0A0K6FSY8_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_08338 PE=3 SV=1,220,8ca.alpha.45,47.1,9e-16,220.0,349.0
tr|A0A0K6FU56|A0A0K6FU56_9AGAM,tr|A0A0K6FU56|A0A0K6FU56_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RDB_LOCUS96138 PE=3 SV=1,169,8ca.alpha.45,90.9,4.4e-29,169.0,349.0
tr|A0A0K6FY87|A0A0K6FY87_9AGAM,tr|A0A0K6FY87|A0A0K6FY87_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_04539 PE=3 SV=1,177,8ca.alpha.45,36.7,1.3e-12,177.0,349.0
tr|A0A0K6FY93|A0A0K6FY93_9AGAM,tr|A0A0K6FY93|A0A0K6FY93_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_04535 PE=3 SV=1,187,8ca.alpha.45,60.7,6.6e-20,187.0,349.0
tr|A0A0K6FY99|A0A0K6FY99_9AGAM,tr|A0A0K6FY99|A0A0K6FY99_9AGAM Carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_04540 PE=3 SV=1,191,8ca.alpha.45,67.2,7.200000000000001e-22,191.0,349.0
tr|A0A0K6FZ23|A0A0K6FZ23_9AGAM,tr|A0A0K6FZ23|A0A0K6FZ23_9AGAM carbonic anhydrase OS=Rhizoctonia solani OX=456999 GN=RSOLAG22IIIB_04645 PE=3 SV=1,708,8ca.alpha.45,18.2,5.5e-07,708.0,349.0
tr|A0A0K6GSL5|A0A0K6GSL5_9NEIS,tr|A0A0K6GSL5|A0A0K6GSL5_9NEIS carbonic anhydrase OS=Gulbenkiania indica OX=375574 GN=Ga0061063_0439 PE=3 SV=1,345,NO_HIT,,,,
tr|A0A0K6GVT7|A0A0K6GVT7_9NEIS,tr|A0A0K6GVT7|A0A0K6GVT7_9NEIS Carbonic anhydrase OS=Gulbenkiania indica OX=375574 GN=Ga0061063_1363 PE=3 SV=1,221,8ca.alpha.45,20.6,1e-07,221.0,349.0
tr|A0A0K6GX27|A0A0K6GX27_9GAMM,tr|A0A0K6GX27|A0A0K6GX27_9GAMM Carbonic anhydrase OS=Pseudidiomarina woesei OX=1381080 GN=Ga0061064_0430 PE=3 SV=1,210,8ca.alpha.45,24.2,8.6e-09,210.0,349.0
tr|A0A0K6HLU1|A0A0K6HLU1_9HYPH,tr|A0A0K6HLU1|A0A0K6HLU1_9HYPH carbonic anhydrase OS=Pannonibacter indicus OX=466044 GN=Ga0061067_101154 PE=3 SV=1,246,8ca.beta.45,266.4,2.5e-82,246.0,381.0
tr|A0A0K6HSQ3|A0A0K6HSQ3_9BURK,tr|A0A0K6HSQ3|A0A0K6HSQ3_9BURK Carboxysome shell carbonic anhydrase OS=Thiomonas bhubaneswarensis OX=339866 GN=Ga0061069_101416 PE=3 SV=1,524,NO_HIT,,,,
tr|A0A0K6I0H7|A0A0K6I0H7_9HYPH,tr|A0A0K6I0H7|A0A0K6I0H7_9HYPH Carbonic anhydrase OS=Pannonibacter indicus OX=466044 GN=Ga0061067_10694 PE=3 SV=1,223,NO_HIT,,,,
tr|A0A0K6I8N4|A0A0K6I8N4_9BURK,tr|A0A0K6I8N4|A0A0K6I8N4_9BURK carbonic anhydrase OS=Thiomonas bhubaneswarensis OX=339866 GN=Ga0061069_109111 PE=3 SV=1,229,8ca.alpha.45,11.1,7.9e-05,229.0,349.0
tr|A0A0K6IDA8|A0A0K6IDA8_9HYPH,tr|A0A0K6IDA8|A0A0K6IDA8_9HYPH Carbonic anhydrase OS=Pannonibacter indicus OX=466044 GN=Ga0061067_1289 PE=3 SV=1,240,8ca.alpha.45,26.9,1.2e-09,240.0,349.0
